PICKUP_FILTER_TITLE	Dropeinstellungen
PICKUP_FILTER_MODE_LABEL	Modus:
PICKUP_FILTER_MODE_SINGLE_LABEL	Einzeln einsammeln
PICKUP_FILTER_MODE_ALL_LABEL	Alles einsammeln
PICKUP_FILTER_IGNORE_LABEL	Ignorieren:
PICKUP_FILTER_IGNORE_WEAPON_LABEL	Waffen
PICKUP_FILTER_IGNORE_ARMOR_LABEL	Rüstungen
PICKUP_FILTER_IGNORE_HEAD_LABEL	Helme
PICKUP_FILTER_IGNORE_SHIELD_LABEL	Schilder
PICKUP_FILTER_IGNORE_WRIST_LABEL	Armbänder
PICKUP_FILTER_IGNORE_FOOTS_LABEL	Schuhe
PICKUP_FILTER_IGNORE_NECK_LABEL	Halsketten
PICKUP_FILTER_IGNORE_EAR_LABEL	Ohrringe
PICKUP_FILTER_IGNORE_ETC_LABEL	Sonstiges
DESTROY	Zerstören
AUTOREFINE	Fenster offen lassen
OPTION_TILING	Grafikspeicher
OPTION_TILING_APPLY	Anwenden
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
CHEST_DROP_TITLE	Truheninhalt
